ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
9671,Swahili,Common Swahili Stop-words,Text,Text Preprocessing,"The dataset of stop-words is used to enhance text preprocessing for Swahili, specifically by removing common stop-words, correcting common typos, and identifying and normalizing slang terms. This improves the accuracy of text analysis, enabling more reliable and meaningful research outcomes in Swahili language processing.",https://doi.org/10.1016/j.dib.2020.106517 (2020),https://data.mendeley.com/datasets/mmf4hnsm2n/1,https://doi.org/10.1145/3711542.3711596 (2024)
9645,Swahili,Crossmodal-3600,Multimodal,Model Evaluation,"The Crossmodal-3600 dataset is used to evaluate massively multilingual multimodal models, with a focus on Swahili and other languages. It supports cross-modal tasks and is designed for comprehensive model evaluation. Researchers use this dataset to assess the performance of models in handling diverse linguistic and modal data, enabling the development of more robust and versatile AI systems.",https://doi.org/10.48550/arXiv.2205.12522 (2022),https://google.github.io/crossmodal-3600/,https://doi.org/10.48550/arXiv.2406.15359 (2024)
9652,Swahili,Free Spoken Digit Dataset (FSDD(11)),Speech,Speech Recognition/Understanding,"The Free Spoken Digit Dataset (FSDD(11)) is used to train and evaluate spoken digit recognition models, with a focus on digit classification accuracy. It is employed in both multilingual contexts and specifically for the Swahili language. The dataset's spoken digits enable researchers to assess model performance in recognizing spoken numbers, facilitating advancements in speech recognition technology.",https://doi.org/10.1007/978-981-15-4828-4_18 (2019),https://github.com/Jakobovski/free-spoken-digit-dataset,https://doi.org/10.1145/3597494 (2023)
9658,Swahili,Kencorpus,Multimodal,Linguistic Analysis,"The Kencorpus dataset is used to support natural language processing tasks and linguistic analysis for Swahili, Dholuo, and Luhya languages. It includes both text and speech data, and a two-million-word parallel corpus of English-Swahili, addressing data scarcity issues in these languages. This dataset enables researchers to develop and test algorithms for language processing and conduct detailed linguistic studies.",https://doi.org/10.21248/jlcl.36.2023.243 (2022),https://kencorpus.maseno.ac.ke/corpus-datasets/,https://doi.org/10.48550/arXiv.2410.14289 (2024); https://doi.org/10.23919/IST-Africa67297.2025.11060514 (2025)
9659,Swahili,KenSwQuAD,Text,Question Answering,"The KenSwQuAD dataset is primarily used to develop and evaluate question answering systems for the Swahili language, particularly in low-resource settings. It serves as a critical resource for improving NLP models for underrepresented languages. The dataset is derived from annotated primary data collected from the field and the Kencorpus project, supporting linguistic research and the creation of Swahili language processing tools. It enables researchers to focus on corpus-based studies, language processing tasks, and the enhancement of question-answering capabilities in Swahili.; The KenSwQuAD dataset is primarily used for developing and evaluating question-answering systems for Swahili, a low-resource language. It serves as a linguistic resource for corpus-based studies and language processing tasks, focusing on human annotation and data collection from the Kencorpus project. This dataset supports research into improving performance in under-resourced linguistic contexts, enhancing Swahili language processing capabilities.",https://doi.org/10.1145/3578553 (2022),https://huggingface.co/datasets/lighteval/KenSwQuAD,https://doi.org/10.48550/arXiv.2405.11437 (2024); https://doi.org/10.1145/3578553 (2022); https://doi.org/10.21248/jlcl.36.2023.243 (2022)
9660,Swahili,Kiswahili phoneme dictionary,Text,Parsing and Tagging,"The Kiswahili phoneme dictionary is used for linguistic studies and natural language processing tasks, particularly in Swahili. It contains 31,759 word-phoneme pairs, enabling phoneme analysis and Part of Speech (POS) tagging. The dataset also supports the creation of resources for analyzing Swahili story texts, focusing on both linguistic and cultural aspects of the language. This rich resource facilitates detailed linguistic analysis and enhances understanding of Swahili language processing.; The Kiswahili phoneme dictionary is used for Swahili language processing, particularly in Part of Speech (POS) tagging, enhancing linguistic analysis and natural language processing tasks. It provides a resource of 31,759 word-phoneme pairs, facilitating research into phonetic and orthographic correspondences. Additionally, it supports the creation of Swahili story text collections, aiding research in Swahili language and literature.",,,https://doi.org/10.21248/jlcl.36.2023.243 (2022)
9662,Swahili,log files from an online Swahili language dataset,Unknown,Not specified,"The dataset 'log files from an online Swahili language dataset' is mentioned in research citations but lacks detailed descriptions of its usage. No specific methodologies, research questions, or applications are provided, and there is no explicit information on how these log files enable research. The dataset's relevance and specific characteristics remain unspecified in the available literature.",https://www.semanticscholar.org/paper/b0685923ada11bc3d7b02d39712dfa07daa88b36 (2004),,https://doi.org/10.17576/gema-2019-1904-01 (2019)
9663,Swahili,"Low -Resource Language Data: Parallel Corpora for Kiswahili and Kidaw'ida, Kalenjin, and Dholuo",Text,Machine Translation,"The dataset 'Low-Resource Language Data: Parallel Corpora for Kiswahili and Kidaw'ida, Kalenjin, and Dholuo' is used to study parallel corpora in low-resource African languages. Researchers focus on translation and linguistic analysis, employing the dataset to explore the structural and semantic nuances of these languages. This enables the development of more accurate translation models and deeper understanding of linguistic features specific to Kiswahili, Kidaw'ida, Kalenjin, and Dholuo.",,https://zenodo.org/records/13355021,https://doi.org/10.23919/IST-Africa67297.2025.11060514 (2025)
9674,Swahili,OPUS parallel data,Text,Machine Translation,"The OPUS parallel data dataset is used to train OPUS-MT systems for multiple language pairs, including Swahili. It focuses on parallel text alignment and enhancing translation quality. The dataset's parallel text structure enables researchers to develop and evaluate machine translation models, ensuring accurate and contextually appropriate translations across languages.",https://www.semanticscholar.org/paper/25ca4a36df2955b345634b5f8a6b6bb66a774b3c (2012),https://opus.nlpl.eu/,https://doi.org/10.18653/v1/2020.nlpcovid19-2.5 (2020)
9675,Swahili,PolitiKweli,Text,Misinformation Detection,"The PolitiKweli dataset is used to analyze political discourse in Swahili, particularly for detecting misinformation and propaganda in social media. It supports the development and evaluation of models to classify false information in political contexts. Additionally, it is utilized to study code-switched Swahili-English posts from Twitter during elections, focusing on linguistic patterns and social media usage. This dataset enables researchers to address the spread of misinformation and understand linguistic behaviors in political communication.",,https://github.com/jayneamol/kweli,https://doi.org/10.5815/ijitcs.2025.01.05 (2025)
9679,Swahili,Swahili dataset from AfriSenti-SemEval 2023 Shared Task 12,Text,Sentiment Analysis,"The Swahili dataset from AfriSenti-SemEval 2023 Shared Task 12 is used for various linguistic and computational tasks, including training the XLM-RoBERTa model for sentiment analysis, addressing Swahili verb morphology, and creating corpora of Swahili conversations to study linguistic structures, common typos, and colloquial language use. It is also utilized for multi-label emotion classification, focusing on emotional expression in Swahili. These applications leverage the dataset's rich content and diverse linguistic features to enhance understanding and modeling of the Swahili language.; The Swahili datasets prepared by Shikali et al. are utilized in various linguistic and computational studies. They are used to compare the performance of Conv-LSTM models for part-of-speech tagging, study word representation vectors using a syllabic alphabet, and analyze linguistic structures in Swahili conversations. The dataset also supports research on common Swahili typos and slang usage in Tanzanian SMS communications. Additionally, it is employed for multi-label emotion classification, focusing on emotional expression in Swahili contexts. The dataset's 28K unique words and diverse content enable these specific research applications.","https://doi.org/10.18653/v1/2021.mrl-1.11 (2021), https://www.semanticscholar.org/paper/ea6302be0401a59170824131168adeae7e80adcc (2012)",https://afrisenti-semeval.github.io/,https://doi.org/10.1109/AIBThings58340.2023.10292494 (2023); https://doi.org/10.1145/3711542.3711596 (2024); https://doi.org/10.1016/j.dib.2020.106517 (2020); https://doi.org/10.18653/v1/2022.naacl-main.23 (2022); https://doi.org/10.1145/3445975 (2021)
